date,rank,song,artist,last-week,peak-rank,weeks-on-board,label
1/1/2000,5,I Knew I Loved You,Savage Garden,4,4,11,happy
1/1/2000,30,Don't Say You Love Me,M2M,44,30,7,happy
1/1/2000,32,Mambo No. 5 (A Little Bit Of...),Lou Bega,18,3,19,happy
1/1/2000,33,Hanginaround,Counting Crows,35,33,9,happy
1/1/2000,34,Take A Picture,Filter,38,34,6,sad
1/1/2000,35,Get Gone,Ideal,27,13,20,happy
1/1/2000,36,Someday,Sugar Ray,34,7,27,happy
1/1/2000,37,He Didn't Have To Be,Brad Paisley,31,30,11,sad
1/1/2000,38,Got Your Money,Ol' Dirty Bastard Featuring Kelis,33,33,11,happy
1/1/2000,39,Shake Your Bon-Bon,Ricky Martin,39,39,7,happy
1/1/2000,40,If You Love Me,Mint Condition,40,30,9,sad
1/1/2000,29,Stay The Night,IMx,36,29,13,happy
1/1/2000,41,Black Balloon,Goo Goo Dolls,37,16,26,happy
1/1/2000,43,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,50,43,4,sad
1/1/2000,44,Satisfy You,Puff Daddy Featuring R. Kelly,32,2,15,happy
1/1/2000,45,Amazed,Lonestar,45,24,22,happy
1/1/2000,46,What Do You Say,Reba,46,46,10,sad
1/1/2000,47,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,42,42,5,happy
1/1/2000,48,Cowboy Take Me Away,Dixie Chicks,52,48,6,sad
1/1/2000,49,When I Said I Do,Clint Black,41,31,12,sad
1/1/2000,50,My Best Friend,Tim McGraw,54,50,6,sad
1/1/2000,51,Got To Get It,Sisqo Featuring Make It Hot,48,48,7,happy
1/1/2000,52,All The Small Things,Blink-182,59,52,5,happy
1/1/2000,42,Rhythm Divine,Enrique Iglesias,67,42,5,happy
1/1/2000,53,This Gift,98 Degrees,,53,1,happy
1/1/2000,28,"4, 5, 6",Sole Featuring JT Money & Kandi,23,21,10,calm
1/1/2000,26,Breathe,Faith Hill,28,26,9,sad
1/1/2000,1,Smooth,Santana Featuring Rob Thomas,1,1,23,happy
1/1/2000,2,Back At One,Brian McKnight,2,2,19,sad
1/1/2000,3,I Wanna Love You Forever,Jessica Simpson,3,3,12,sad
1/1/2000,7,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",7,7,6,sad
1/1/2000,8,U Know What's Up,Donell Jones,8,7,15,happy
1/1/2000,9,Bring It All To Me,Blaque,9,9,11,happy
1/1/2000,10,Girl On TV,LFO,11,10,7,happy
1/1/2000,11,What A Girl Wants,Christina Aguilera,13,11,6,sad
1/1/2000,12,24/7,Kevon Edmonds,10,10,9,happy
1/1/2000,13,Blue (Da Ba Dee),Eiffel 65,16,13,4,happy
1/1/2000,27,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,25,19,26,happy
