date,rank,song,artist,last-week,peak-rank,weeks-on-board,label
1989-12-02,1,Blame It On The Rain,Milli Vanilli,1,1,9,happy
1989-12-02,2,We Didn't Start The Fire,Billy Joel,5,2,8,1
1989-12-02,3,(It's Just) The Way That You Love Me,Paula Abdul,4,3,16,happy
1989-12-02,4,Angelia,Richard Marx,6,4,9,0
1989-12-02,5,Love Shack,The B-52s,3,3,14,1
1989-12-02,6,Another Day In Paradise,Phil Collins,10,6,5,0
1989-12-02,7,Back To Life,Soul II Soul,8,7,11,1
1989-12-02,8,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),9,8,10,0
1989-12-02,9,When I See You Smile,Bad English,2,1,12,0
1989-12-02,10,Poison,Alice Cooper,7,7,11,2
1989-12-02,11,With Every Beat Of My Heart,Taylor Dayne,13,11,7,happy
1989-12-02,12,Don't Close Your Eyes,KIX,12,12,13,sad
1989-12-02,13,Leave A Light On,Belinda Carlisle,15,13,10,happy
1989-12-02,14,Get On Your Feet,Gloria Estefan,11,11,10,1
1989-12-02,15,Living In Sin,Bon Jovi,16,15,9,2
1989-12-02,16,Pump Up The Jam,Technotronic Featuring Felly,19,16,8,1
1989-12-02,17,Rhythm Nation,Janet Jackson,22,17,4,2
1989-12-02,18,Don't Shut Me Out,Kevin Paige,18,18,16,happy
1989-12-02,19,Just Like Jesse James,Cher,26,19,7,0
1989-12-02,20,Don't Make Me Over,Sybil,23,20,11,happy
1989-12-02,21,Love Song,Tesla,25,21,10,sad
1989-12-02,22,Listen To Your Heart,Roxette,14,1,15,happy
1989-12-02,23,The Last Worthless Evening,Don Henley,24,23,9,happy
1989-12-02,24,Everything,Jody Watley,29,24,8,sad
1989-12-02,25,Bust A Move,Young M.C.,17,7,19,1
1989-12-02,26,Swing The Mood,Jive Bunny & The Mastermixers,34,26,6,1
1989-12-02,27,Just Between You And Me,Lou Gramm,32,27,6,1
1989-12-02,28,This One's For The Children,New Kids On The Block,37,28,4,sad
1989-12-02,29,How Am I Supposed To Live Without You,Michael Bolton,36,29,6,0
1989-12-02,30,The Angel Song,Great White,33,30,10,sad
1989-12-02,31,Free Fallin',Tom Petty,43,31,5,1
1989-12-02,32,I Live By The Groove,Paul Carrack,38,32,6,happy
1989-12-02,33,Me So Horny,The 2 Live Crew,28,26,13,2
1989-12-02,34,Rock And A Hard Place,The Rolling Stones,39,34,5,happy
1989-12-02,35,Oh Father,Madonna,40,35,4,sad
1989-12-02,36,Miss You Much,Janet Jackson,21,1,14,1
1989-12-02,37,When The Night Comes,Joe Cocker,42,37,6,happy
1989-12-02,38,Didn't I (Blow Your Mind),New Kids On The Block,20,8,12,happy
1989-12-02,39,The Arms Of Orion,Prince With Sheena Easton,41,39,7,sad
1989-12-02,40,Downtown Train,Rod Stewart,54,40,2,0
1989-12-02,41,Rock Wit'cha,Bobby Brown,30,7,15,1
1989-12-02,42,Two To Make It Right,Seduction,49,42,4,happy
1989-12-02,43,Fool For Your Loving,Whitesnake,47,43,13,happy
1989-12-02,44,I Remember You,Skid Row,53,44,3,happy
1989-12-02,45,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,57,45,3,1
1989-12-02,46,I Want You,Shana,52,46,9,happy
1989-12-02,47,Cover Girl,New Kids On The Block,27,2,12,happy
1989-12-02,48,Love In An Elevator,Aerosmith,35,5,14,2
1989-12-02,49,Was It Nothing At All,Michael Damian,58,49,6,happy
1989-12-02,50,French Kiss,Lil Louis,59,50,7,1
1989-12-02,51,Tender Lover,Babyface,63,51,3,happy
1989-12-02,52,Sowing The Seeds Of Love,Tears For Fears,31,2,14,happy
1989-12-02,53,If You Leave Me Now,Jaya,61,53,8,happy
1989-12-02,54,I'm Not The Man I Used To Be,Fine Young Cannibals,68,54,4,1
1989-12-02,55,When I Looked At Him,Expose,46,10,16,happy
1989-12-02,56,Girl I Am Searching For You,Stevie B,60,56,9,happy
1989-12-02,57,Dr. Feelgood,Motley Crue,48,6,14,happy
1989-12-02,58,Sunshine,Dino,45,23,13,happy
1989-12-02,59,Janie's Got A Gun,Aerosmith,85,59,2,0
1989-12-02,60,I Think I Can Beat Mike Tyson,D.J. Jazzy Jeff & The Fresh Prince,65,60,5,happy
1989-12-02,61,Sold Me Down The River,The Alarm,50,50,9,1
1989-12-02,62,Pretending,Eric Clapton,77,62,3,happy
1989-12-02,63,Back To The Bullet,Saraya,70,63,4,happy
1989-12-02,64,Over And Over,Pajama Party,72,64,4,happy
1989-12-02,65,Principal's Office,Young M.C.,88,65,2,happy
1989-12-02,66,Peace In Our Time,Eddie Money,,66,1,happy
1989-12-02,67,Touch Me Tonight,Shooting Star,76,67,5,happy
1989-12-02,68,Kickstart My Heart,Motley Crue,90,68,2,happy
1989-12-02,69,Steamy Windows,Tina Turner,83,69,2,happy
1989-12-02,70,No More Lies,Michel'le,82,70,3,happy
1989-12-02,71,Talk To Myself,Christopher Williams,73,49,13,happy
1989-12-02,72,If I Could Turn Back Time,Cher,74,3,22,happy
1989-12-02,73,Call It Love,Poco,56,18,15,happy
1989-12-02,74,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),95,74,2,happy
1989-12-02,75,Girl I'm Gonna Miss You,Milli Vanilli,64,1,18,happy
1989-12-02,76,Sugar Daddy,Thompson Twins,51,28,11,happy
1989-12-02,77,It's No Crime,Babyface,55,7,17,happy
1989-12-02,78,Wait For You,Bonham,91,78,2,1
1989-12-02,79,Heat Of The Moment,After 7,75,74,7,happy
1989-12-02,80,Hide Your Heart,KISS,92,80,2,happy
1989-12-02,81,Licence To Chill,Billy Ocean,44,32,9,sad
1989-12-02,82,My Heart Skips A Beat,The Cover Girls,69,38,13,happy
1989-12-02,83,Love Song,The Cure,62,2,17,happy
1989-12-02,84,Baby Come To Me,Regina Belle,79,60,8,1
1989-12-02,85,Lullaby,The Cure,,85,1,0
1989-12-02,86,New Thing,Enuff Z'Nuff,71,67,7,happy
1989-12-02,87,I Didn't Mean To Stay All Night,Starship,94,87,2,happy
1989-12-02,88,Don't Take It Personal,Jermaine Jackson,,88,1,happy
1989-12-02,89,Nothin' To Hide,Poco,,89,1,sad
1989-12-02,90,You Are My Everything,Surface,84,84,5,happy
1989-12-02,91,I'm A Believer,Giant,67,56,10,happy
1989-12-02,92,What About Me,Moving Pictures,81,46,17,sad
1989-12-02,93,Woman In Chains,Tears For Fears,,93,1,happy
1989-12-02,94,Radar Love,White Lion,89,59,11,happy
1989-12-02,95,What Kind Of Man Would I Be?,Chicago,,95,1,happy
1989-12-02,96,Owwww!,Chunky A,,96,1,energetic
1989-12-02,97,Serious Kinda Girl,Christopher Max,,97,1,happy
1989-12-02,98,Realistic,Shirley Lewis,86,84,6,happy
1989-12-02,99,Healing Hands,Elton John,78,13,15,happy
1989-12-02,100,The Best,Tina Turner,66,15,14,0
1989-11-04,1,Listen To Your Heart,Roxette,3,1,11,happy
1989-11-04,2,Cover Girl,New Kids On The Block,4,2,8,happy
1989-11-04,3,Miss You Much,Janet Jackson,1,1,10,1
1989-11-04,4,Sowing The Seeds Of Love,Tears For Fears,2,2,10,happy
1989-11-04,5,When I See You Smile,Bad English,9,5,8,0
1989-11-04,6,Love In An Elevator,Aerosmith,5,5,10,2
1989-11-04,7,Rock Wit'cha,Bobby Brown,10,7,11,1
1989-11-04,8,Dr. Feelgood,Motley Crue,6,6,10,happy
1989-11-04,9,(It's Just) The Way That You Love Me,Paula Abdul,16,9,12,happy
1989-11-04,10,Love Shack,The B-52s,15,10,10,1
1989-11-04,11,Bust A Move,Young M.C.,8,7,15,1
1989-11-04,12,Blame It On The Rain,Milli Vanilli,20,12,5,happy
1989-11-04,13,Didn't I (Blow Your Mind),New Kids On The Block,14,13,8,happy
1989-11-04,14,Healing Hands,Elton John,13,13,11,happy
1989-11-04,15,The Best,Tina Turner,17,15,10,0
1989-11-04,16,Angelia,Richard Marx,22,16,5,0
1989-11-04,17,Poison,Alice Cooper,24,17,7,2
