Date,Event Title
2000-01-05,Sri Lankan Tamil politician Kumar Ponnambalam was killed in an assassination suspected to have been sanctioned by President Chandrika Kumaratunga.
2000-01-13,Steve Ballmer replaced Bill Gates as the chief executive officer of Microsoft.
2000-01-30,"Kenya Airways Flight 431 crashed into the Atlantic Ocean near Ivory Coast shortly after takeoff, killing 169 on board."
2000-02-05,"Second Chechen War: As the Battle of Grozny came to a close, Russian forces summarily executed at least 60 civilians in Grozny's Novye Aldi suburb."
2000-03-06,"The Marine Parade Community Building, the mural cladding of which is the largest installation art in Singapore, was opened."
2000-03-17,"Hundreds of followers of the Movement for the Restoration of the Ten Commandments of God, a Ugandan sect, died in a mass murder committed by its leaders."
2000-04-03,"In United States v. Microsoft Corp., Microsoft was found to have violated antitrust law by bundling the web browser Internet Explorer with its Windows operating system."
2000-04-05,"Fan violence broke out before a UEFA Cup semifinal in Istanbul, Turkey, resulting in two Leeds United supporters being stabbed to death and Galatasaray supporters being banned from attending the second leg in England."
2000-04-22,"In a pre-dawn raid, U.S. federal agents seized six-year-old Elián González from his relatives' home in Miami and returned him to his Cuban father."
2000-04-30,"Faustina Kowalska, a Polish nun whose apparitions of Jesus inspired the Catholic devotion to the Divine Mercy, was canonized by Pope John Paul II."
2000-05-04,Ken Livingstone took office as the first mayor of London.
2000-05-13,"An explosion (aftermath pictured) at a fireworks factory in Enschede, Netherlands, resulted in 23 deaths and approximately €450 million in damage."
2000-05-17,"Following the killing of two English football fans by Galatasaray supporters in the previous month, British and Turkish hooligans rioted on the day of the UEFA Cup Final in Copenhagen, Denmark."
2000-06-21,"President Bill Clinton awarded the Medal of Honor to 22 Asian Americans, mostly from the 442nd Regimental Combat Team, for actions during World War II."
2000-07-25,"Air France Flight 4590, a Concorde en route from Paris to New York, crashed in Gonesse, France, killing all 109 passengers on board and four people on the ground."
2000-08-12,"Kursk, an Oscar-class submarine of the Russian Navy, suffered an on-board explosion and sank in the Barents Sea during a military exercise with 118 lives lost."
2000-09-01,"Speakers' Corner, a free speech area in Hong Lim Park in Singapore, was launched."
2000-09-10,"British forces freed soldiers and civilians who had been held captive by the militant group the West Side Boys, contributing to the end of the Sierra Leone Civil War."
2000-09-20,"The Real Irish Republican Army carried out a rocket-launcher attack on the MI6 headquarters in London, with no casualties and minimal damage recorded."
2000-09-30,Twelve-year-old Muhammad al-Durrah was shot dead in the Gaza Strip; the Israel Defense Forces initially accepted responsibility but retracted it five years later.
2000-10-06,"Denouncing corruption in Argentine president Fernando de la Rúa's administration and the Senate, Vice President Carlos Álvarez resigned."
2000-10-17,"A fatal rail crash at Hatfield, Hertfordshire, led to the introduction of widespread speed limit reductions throughout the British rail network and eventually caused the collapse of the railway management group Railtrack."
2000-10-26,"Following protests against military leader Robert Guéï, Laurent Gbagbo became the president of Ivory Coast."
2000-11-02,"Aboard Expedition 1, American astronaut William Shepherd and Russian cosmonauts Sergei Krikalev and Yuri Gidzenko became the first resident crew to arrive at the International Space Station."
2000-11-07,"Hillary Clinton was elected a US senator, the first time a first lady had been elected to public office."
2000-11-15,"Edoardo Agnelli, son of the industrialist patriarch of Fiat Gianni Agnelli, was found dead under a bridge on the outskirts of Turin."
2000-12-12,"The U.S. Supreme Court ruled in Bush v. Gore that the recount of ballots cast in Florida for the presidential election be stopped, effectively making George W. Bush (pictured) the winner."
2000-12-25,"Russian president Vladimir Putin signed into law a bill officially adopting a new national anthem, with music by Alexander Vasilyevich Alexandrov originally composed for the anthem of the Soviet Union."
2000-12-30,"A series of bombings occurred around Metro Manila in the Philippines, killing 22 people and injuring around 100 others."
2001-01-13,"The first of two large earthquakes struck El Salvador, killing at least 944 people and destroying over 100,000 homes."
2001-01-19,"The key of Majulah Singapura, the national anthem of Singapore, was changed to F major."
2001-01-23,"Five people attempted to set themselves on fire in Tiananmen Square, Beijing, an act that many later claimed to have been staged by the Chinese Communist Party to frame Falun Gong and thus escalate their persecution."
2001-01-26,"An earthquake in the Indian state of Gujarat killed at least 13,000 people, injured 167,000 others and destroyed nearly 400,000 homes."
2001-02-01,The Timor Leste Defence Force was established from the erstwhile anti-Indonesian independence movement Falintil.
2001-02-09,"The American submarine USS Greeneville collided with the Ehime Maru, a Japanese training vessel operated by a high school, sinking the latter ship and killing nine people on board."
2001-02-11,"The computer worm Anna Kournikova, which would affect millions of users worldwide, was released by a 20-year-old Dutch student."
2001-02-12,"The NASA space probe NEAR Shoemaker touched down on Eros, becoming the first spacecraft to land on an asteroid."
2001-02-18,American FBI agent Robert Hanssen (pictured) was arrested for having spied for the KGB and GRU over a 22-year period.
2001-02-18,"Inter-ethnic violence between the Dayak and the Madurese broke out in Sampit, Indonesia, ultimately causing more than 500 deaths and the displacement of 100,000 Madurese from their homes."
2001-02-28,"A high-speed train crash occurred near Selby in North Yorkshire, England, killing 10 and injuring 82."
2001-03-16,"A series of bomb blasts in the city of Shijiazhuang, China, killed 108 people."
2001-04-01,"Same-sex marriage in the Netherlands was legalised, with the country becoming the first to do so."
2001-04-01,"An American Lockheed EP-3 and a Chinese Shenyang J-8 collided in mid-air off Hainan, resulting in an international dispute between the two countries."
2001-04-07,"NASA's 2001 Mars Odyssey (artist's conception pictured), the longest-surviving continually active spacecraft in orbit around a planet other than Earth, launched from Cape Canaveral."
2001-04-11,"In a FIFA World Cup qualifying match, Australia defeated American Samoa 31–0, the largest margin of victory recorded in international football."
2001-05-09,"Police at the Ohene Djan Stadium in Accra, Ghana, fired tear gas to quell unrest at a football match, leading to a stampede that killed 126 people."
2001-05-27,"Twenty tourists were kidnapped by Abu Sayyaf militants in Palawan, Philippines, triggering a hostage crisis that lasted for more than a year."
2001-06-05,"Tropical Storm Allison, the costliest Atlantic tropical cyclone that was never a hurricane, made landfall in Texas, causing approximately $8.5 billion in damage."
2001-06-11,Robert Edward Dyer was sentenced to 16 years' imprisonment for conducting a six-month-long letter-bomb campaign against the British supermarket chain Tesco.
2001-06-11,"Timothy McVeigh, detonator of a truck bomb in front of the Oklahoma federal building, was executed by lethal injection for using a weapon of mass destruction, among other charges."
2001-06-15,"Leaders of China, Russia, Kazakhstan, Kyrgyzstan, Tajikistan and Uzbekistan formed the Shanghai Cooperation Organisation."
2001-07-20,"Twenty-three-year-old Italian anti-globalist Carlo Giuliani was shot dead by a police officer while protesting outside the 27th G8 summit held in Genoa, Italy."
2001-07-20,"The animated film Spirited Away, written and directed by Hayao Miyazaki, was released, becoming the highest-grossing film in Japanese history until 2020."
2001-07-23,Megawati Sukarnoputri (pictured) became the first female president of Indonesia after her predecessor Abdurrahman Wahid was removed from office.
2001-07-28,"At the World Aquatics Championships in Fukuoka, Japan, Australian Ian Thorpe  became the first swimmer to win six gold medals at a single FINA world championship."
2001-08-09,"A suicide bomber attacked a pizza restaurant in Jerusalem, killing 15 people and wounding 130 others."
2001-08-25,American singer Aaliyah (pictured) and several members of her record company were killed when their overloaded aircraft crashed shortly after takeoff from Marsh Harbour Airport in The Bahamas.
