date,rank,song,artist,last-week,peak-rank,weeks-on-board,label
2007-04-07,1,Don't Matter,Akon,3.0,1,10,1
2007-04-07,2,Glamorous,Fergie Featuring Ludacris,1.0,1,11,1
2007-04-07,3,Beautiful Liar,Beyonce & Shakira,94.0,3,2,1
2007-04-07,4,This Is Why I'm Hot,Mims,2.0,1,10,1
2007-04-07,5,Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,4.0,4,12,1
2007-04-07,6,The Sweet Escape,Gwen Stefani Featuring Akon,5.0,3,15,happy
2007-04-07,7,Girlfriend,Avril Lavigne,8.0,5,4,2
2007-04-07,8,Throw Some D's,Rich Boy Featuring Polow Da Don,6.0,6,16,2
2007-04-07,9,What Goes Around...Comes Around,Justin Timberlake,9.0,1,16,1
2007-04-07,10,It's Not Over,Daughtry,7.0,4,18,happy
2007-04-07,11,Say It Right,Nelly Furtado,11.0,1,20,1
2007-04-07,12,Last Night,Diddy Featuring Keyshia Cole,15.0,12,10,happy
2007-04-07,13,Ice Box,Omarion,13.0,12,17,1
2007-04-07,14,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,10.0,2,10,2
2007-04-07,15,Lost Without U,Robin Thicke,14.0,14,15,1
2007-04-07,16,You,Lloyd Featuring Lil Wayne,12.0,9,20,happy
2007-04-07,17,I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),20.0,17,6,1
2007-04-07,18,Go Getta,Young Jeezy Featuring R. Kelly,23.0,18,10,1
2007-04-07,19,U + Ur Hand,P!nk,29.0,19,13,2
2007-04-07,20,If Everyone Cared,Nickelback,17.0,17,10,happy
2007-04-07,21,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie,24.0,21,15,happy
2007-04-07,22,Make It Rain,Fat Joe Featuring Lil Wayne,18.0,13,21,happy
2007-04-07,23,Irreplaceable,Beyonce,16.0,1,23,happy
2007-04-07,24,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,32.0,24,5,1
2007-04-07,25,Face Down,The Red Jumpsuit Apparatus,26.0,25,33,2
2007-04-07,26,Before He Cheats,Carrie Underwood,30.0,16,30,2
2007-04-07,27,Candyman,Christina Aguilera,25.0,25,8,2
2007-04-07,28,Walk It Out,Unk,22.0,10,29,happy
2007-04-07,29,Over It,Katharine McPhee,49.0,29,8,happy
2007-04-07,30,Runaway Love,Ludacris Featuring Mary J. Blige,19.0,2,19,1
2007-04-07,31,Like A Boy,Ciara,44.0,31,4,1
2007-04-07,32,How To Save A Life,The Fray,28.0,3,50,1
2007-04-07,33,2 Step,Unk,35.0,33,7,happy
