date,rank,song,artist,last-week,peak-rank,weeks-on-board,label
1993-12-04,1,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1.0,1,12,happy
1993-12-04,2,Again,Janet Jackson,2.0,2,7,sad
1993-12-04,3,All That She Wants,Ace Of Base,3.0,2,12,happy
1993-12-04,4,Shoop,Salt-N-Pepa,5.0,4,9,happy
1993-12-04,5,Gangsta Lean,DRS,4.0,4,8,sad
1993-12-04,6,Hero,Mariah Carey,7.0,6,7,sad
1993-12-04,7,Just Kickin' It,Xscape,6.0,2,12,happy
1993-12-04,8,Please Forgive Me,Bryan Adams,8.0,7,7,sad
1993-12-04,9,Breathe Again,Toni Braxton,11.0,9,8,happy
1993-12-04,10,Can We Talk,Tevin Campbell,12.0,10,8,happy
1993-12-04,11,Whoomp! (There It Is),Tag Team,9.0,2,28,happy
1993-12-04,12,Said I Loved You...But I Lied,Michael Bolton,14.0,12,5,sad
1993-12-04,13,Hey Mr. D.J.,Zhane,10.0,6,15,happy
1993-12-04,14,Keep Ya Head Up,2Pac,15.0,14,6,happy
1993-12-04,15,What Is Love,Haddaway,17.0,11,15,happy
1993-12-04,16,Dreamlover,Mariah Carey,13.0,1,18,happy
1993-12-04,17,All For Love,Bryan Adams/Rod Stewart/Sting,51.0,17,2,sad
1993-12-04,18,Anniversary,Tony Toni Tone,16.0,10,11,happy
1993-12-04,19,Come Baby Come,K7,20.0,19,14,happy
1993-12-04,20,Sex Me (Parts I & II),R. Kelly,22.0,20,6,happy
1993-12-04,21,The River Of Dreams,Billy Joel,18.0,3,19,happy
1993-12-04,22,Linger,The Cranberries,30.0,22,7,sad
1993-12-04,23,Another Sad Love Song,Toni Braxton,19.0,7,23,happy
1993-12-04,24,Time And Chance,Color Me Badd,31.0,24,6,happy
1993-12-04,25,Both Sides Of The Story,Phil Collins,25.0,25,6,happy
1993-12-04,26,Never Keeping Secrets,Babyface,32.0,26,7,happy
1993-12-04,27,Wild World,Mr. Big,27.0,27,9,happy
1993-12-04,28,Sweat (A La La La La Long),Inner Circle,21.0,16,18,happy
1993-12-04,29,No Rain,Blind Melon,23.0,20,16,sad
1993-12-04,30,Because The Night,"10,000 Maniacs",40.0,30,5,happy
1993-12-04,31,If,Janet Jackson,29.0,4,20,happy
