date,rank,song,artist,last-week,peak-rank,weeks-on-board,label
1988-12-03,1,"Baby, I Love Your Way/Freebird Medley",Will To Power,2,1,13,sad
1988-12-03,2,Look Away,Chicago,6,2,11,sad
1988-12-03,3,How Can I Fall?,Breathe,4,3,13,0
1988-12-03,4,I Don't Want Your Love,Duran Duran,7,4,8,happy
1988-12-03,5,Desire,U2,3,3,10,happy
1988-12-03,6,Giving You The Best That I Got,Anita Baker,9,6,11,sad
1988-12-03,7,Waiting For A Star To Fall,Boy Meets Girl,12,7,13,1
1988-12-03,8,Bad Medicine,Bon Jovi,1,1,11,2
1988-12-03,9,Kissing A Fool,George Michael,5,5,9,0
1988-12-03,10,Every Rose Has Its Thorn,Poison,16,10,6,0
1988-12-03,11,Welcome To The Jungle,Guns N' Roses,14,11,7,happy
1988-12-03,12,Walk On Water,Eddie Money,15,12,10,1
1988-12-03,13,My Prerogative,Bobby Brown,18,13,7,1
1988-12-03,14,The Promise,When In Rome,17,14,14,1
1988-12-03,15,"Wild, Wild West",The Escape Club,8,1,16,happy
1988-12-03,16,"Kokomo (From""Cocktail"" )",The Beach Boys,11,1,14,happy
1988-12-03,17,Finish What Ya Started,Van Halen,22,17,10,happy
1988-12-03,18,Domino Dancing,Pet Shop Boys,21,18,9,happy
1988-12-03,19,The Loco-Motion,Kylie Minogue,10,3,15,happy
1988-12-03,20,In Your Room,The Bangles,26,20,8,happy
1988-12-03,21,Don't Know What You Got (Till It's Gone),Cinderella,13,12,14,0
1988-12-03,22,Spy In The House Of Love,Was (Not Was),24,22,10,happy
1988-12-03,23,Early In The Morning,Robert Palmer,29,23,7,happy
1988-12-03,24,Two Hearts,Phil Collins,35,24,3,2
1988-12-03,25,Till I Loved You,Barbra Streisand & Don Johnson,28,25,7,sad
1988-12-03,26,Don't Rush Me,Taylor Dayne,33,26,5,happy
1988-12-03,27,I Remember Holding You,Boys Club,31,27,7,happy
1988-12-03,28,Silhouette,Kenny G,34,28,6,sad
1988-12-03,29,Not Just Another Girl,Ivan Neville,30,29,9,happy
1988-12-03,30,Groovy Kind Of Love,Phil Collins,23,1,14,0
1988-12-03,31,Small World,Huey Lewis & The News,25,25,9,happy
1988-12-03,32,Smooth Criminal,Michael Jackson,38,32,4,1
1988-12-03,33,"Yeah, Yeah, Yeah",Judson Spence,36,33,8,0
1988-12-03,34,Put A Little Love In Your Heart,Annie Lennox & Al Green,42,34,5,happy
1988-12-03,35,Another Lover,Giant Steps,19,13,16,happy
1988-12-03,36,The Way You Love Me,Karyn White,37,36,8,happy
1988-12-03,37,Armageddon It,Def Leppard,46,37,3,2
1988-12-03,38,Symptoms Of True Love,Tracie Spencer,39,38,10,happy
1988-12-03,39,One Moment In Time,Whitney Houston,20,5,13,sad
1988-12-03,40,All This Time,Tiffany,52,40,5,1
1988-12-03,41,Little Liar,Joan Jett & the Blackhearts,47,41,6,happy
1988-12-03,42,Wild World,Maxi Priest,49,42,6,1
1988-12-03,43,Thanks For My Child,Cheryl Pepsii Riley,44,43,6,sad
1988-12-03,44,Edge Of A Broken Heart,Vixen,27,26,12,1
1988-12-03,45,"Hippy Hippy Shake (From ""Cocktail"")",The Georgia Satellites,45,45,7,happy
1988-12-03,46,Ghost Town,Cheap Trick,53,46,5,happy
1988-12-03,47,Handle With Care,Traveling Wilburys,48,47,6,1
1988-12-03,48,Holding On,Steve Winwood,71,48,2,happy
1988-12-03,49,When The Children Cry,White Lion,62,49,5,0
1988-12-03,50,I Wanna Have Some Fun,Samantha Fox,61,50,4,happy
1988-12-03,51,Never Tear Us Apart,INXS,32,7,17,happy
1988-12-03,52,Born To Be My Baby,Bon Jovi,78,52,2,2
1988-12-03,53,Peek-A-Boo,Siouxsie & The Banshees,58,53,8,1
1988-12-03,54,What's On Your Mind (Pure Energy),Information Society,40,3,21,happy
1988-12-03,55,Red Red Wine,UB40,43,1,32,1
1988-12-03,56,Back On Holiday,Robbie Nevil,64,56,4,happy
1988-12-03,57,Girls Ain't Nothing But Trouble,D.J. Jazzy Jeff & The Fresh Prince,59,57,6,happy
1988-12-03,58,Baby Can I Hold You,Tracy Chapman,65,58,5,1
1988-12-03,59,Best Of Times,Peter Cetera,60,59,6,happy
1988-12-03,60,It's Money That Matters,Randy Newman,66,60,5,happy
1988-12-03,61,The Lover In Me,Sheena Easton,77,61,5,happy
1988-12-03,62,Any Love,Luther Vandross,50,44,9,1
1988-12-03,63,"Boy, I've Been Told",SaFire,55,48,11,happy
1988-12-03,64,Nobody's Perfect,Mike + The Mechanics,70,64,5,happy
1988-12-03,65,Love Bites,Def Leppard,56,1,17,1
1988-12-03,66,Don't Be Cruel,Bobby Brown,51,8,20,happy
1988-12-03,67,Forever Young,Rod Stewart,57,12,18,0
1988-12-03,68,When I'm With You,Sheriff,84,61,9,0
1988-12-03,69,You Got It (The Right Stuff),New Kids On The Block,79,69,3,happy
1988-12-03,70,Forever Young,Alphaville,73,70,10,0
1988-12-03,71,Cars With The Boom,L'Trimm,69,54,11,happy
1988-12-03,72,Don't You Know What The Night Can Do?,Steve Winwood,54,6,16,0
1988-12-03,73,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,67,1,19,sad
1988-12-03,74,Walking Away,Information Society,98,74,2,happy
1988-12-03,75,I'll Always Love You,Taylor Dayne,68,3,26,happy
1988-12-03,76,A Word In Spanish,Elton John,41,19,12,happy
1988-12-03,77,Please Don't Go Girl,New Kids On The Block,76,10,24,happy
