date,rank,song,artist,last-week,peak-rank,weeks-on-board,label
2014-08-02,1,Rude,MAGIC!,1,1,13,1
2014-08-02,2,Fancy,Iggy Azalea Featuring Charli XCX,2,1,20,happy
2014-08-02,3,Stay With Me,Sam Smith,5,3,15,0
2014-08-02,4,Problem,Ariana Grande Featuring Iggy Azalea,3,2,12,1
2014-08-02,5,Am I Wrong,Nico & Vinz,4,4,14,happy
2014-08-02,6,All Of Me,John Legend,7,1,41,0
2014-08-02,7,Maps,Maroon 5,8,7,5,1
2014-08-02,8,Wiggle,Jason Derulo Featuring Snoop Dogg,6,5,12,happy
2014-08-02,9,Latch,Disclosure Featuring Sam Smith,10,9,18,happy
2014-08-02,10,Summer,Calvin Harris,9,7,18,1
2014-08-02,11,Chandelier,Sia,13,11,11,happy
2014-08-02,12,Happy,Pharrell Williams,12,1,29,happy
2014-08-02,13,Turn Down For What,DJ Snake & Lil Jon,14,4,30,1
2014-08-02,14,Boom Clap,Charli XCX,16,14,7,1
2014-08-02,15,Love Runs Out,OneRepublic,17,15,11,happy
2014-08-02,16,Dark Horse,Katy Perry Featuring Juicy J,15,1,44,happy
2014-08-02,17,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,23,17,12,happy
2014-08-02,18,Shower,Becky G,21,18,7,1
2014-08-02,19,Classic,MKTO,18,14,23,1
2014-08-02,20,Dirt,Florida Georgia Line,11,11,2,happy
2014-08-02,21,Break Free,Ariana Grande Featuring Zedd,19,15,3,1
2014-08-02,22,Rather Be,Clean Bandit Featuring Jess Glynne,32,22,6,happy
2014-08-02,23,American Kids,Kenny Chesney,24,23,5,1
2014-08-02,24,Everything I Didn't Say,5 Seconds Of Summer,,24,1,happy
2014-08-02,25,2 On,Tinashe Featuring ScHoolboy Q,27,25,11,1
2014-08-02,26,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,22,9,27,1
2014-08-02,27,Drunk On A Plane,Dierks Bentley,29,27,10,1
2014-08-02,28,Ain't It Fun,Paramore,20,10,21,1
2014-08-02,29,Counting Stars,OneRepublic,26,2,57,1
2014-08-02,30,Really Don't Care,Demi Lovato Featuring Cher Lloyd,38,30,7,1
2014-08-02,31,Come With Me Now,KONGOS,31,31,16,1
2014-08-02,32,Pompeii,Bastille,28,5,49,1
2014-08-02,33,Talk Dirty,Jason Derulo Featuring 2 Chainz,30,3,31,happy
2014-08-02,34,Na Na,Trey Songz,25,21,26,1
2014-08-02,35,Bartender,Lady Antebellum,36,35,9,happy
2014-08-02,36,I Don't Dance,Lee Brice,40,36,14,1
