date,rank,song,artist,last-week,peak-rank,weeks-on-board,label
1999-12-04,1,Smooth,Santana Featuring Rob Thomas,1.0,1,19,happy
1999-12-04,2,Back At One,Brian McKnight,2.0,2,15,sad
1999-12-04,3,I Need To Know,Marc Anthony,3.0,3,13,happy
1999-12-04,4,Mambo No. 5 (A Little Bit Of...),Lou Bega,4.0,3,15,happy
1999-12-04,5,I Wanna Love You Forever,Jessica Simpson,5.0,5,8,sad
1999-12-04,6,My Love Is Your Love,Whitney Houston,6.0,6,14,happy
1999-12-04,7,I Knew I Loved You,Savage Garden,13.0,7,7,happy
1999-12-04,8,Waiting For Tonight,Jennifer Lopez,9.0,8,8,happy
1999-12-04,9,U Know What's Up,Donell Jones,11.0,9,11,happy
1999-12-04,10,Unpretty,TLC,7.0,1,24,happy
1999-12-04,11,Steal My Sunshine,Len,12.0,9,17,happy
1999-12-04,12,Satisfy You,Puff Daddy Featuring R. Kelly,10.0,2,11,happy
1999-12-04,13,Where My Girls At?,702,15.0,4,32,happy
1999-12-04,14,Heartbreaker,Mariah Carey Featuring Jay-Z,8.0,1,14,happy
1999-12-04,15,Girl On TV,LFO,16.0,15,3,happy
1999-12-04,16,Get Gone,Ideal,14.0,13,16,happy
1999-12-04,17,Bring It All To Me,Blaque,19.0,17,7,happy
1999-12-04,18,(You Drive Me) Crazy,Britney Spears,17.0,10,12,happy
1999-12-04,19,Someday,Sugar Ray,18.0,7,23,happy
1999-12-04,20,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,21.0,19,22,happy
1999-12-04,21,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",36.0,21,2,sad
1999-12-04,22,24/7,Kevon Edmonds,68.0,22,5,happy
1999-12-04,23,Then The Morning Comes,Smash Mouth,27.0,23,6,happy
1999-12-04,24,Scar Tissue,Red Hot Chili Peppers,20.0,9,27,happy
1999-12-04,25,Will 2K,Will Smith Featuring K-Ci,26.0,25,6,sad
1999-12-04,26,Meet Virginia,Train,32.0,26,9,happy
1999-12-04,27,I Do (Cherish You),98 Degrees,23.0,13,18,sad
1999-12-04,28,Genie In A Bottle,Christina Aguilera,22.0,1,23,happy
1999-12-04,29,15 Minutes,Marc Nelson,44.0,29,10,happy
1999-12-04,30,Larger Than Life,Backstreet Boys,28.0,25,12,happy
1999-12-04,31,I Love You,Martina McBride,25.0,24,15,happy
1999-12-04,32,Learn To Fly,Foo Fighters,42.0,32,8,energetic
1999-12-04,33,When I Said I Do,Clint Black,35.0,33,8,sad
1999-12-04,34,Stay The Night,IMx,31.0,31,9,happy
1999-12-04,35,If You Love Me,Mint Condition,30.0,30,5,sad
1999-12-04,36,All Star,Smash Mouth,29.0,4,29,happy
1999-12-04,37,Big Deal,LeAnn Rimes,41.0,37,8,happy
1999-12-04,38,Gotta Man,Eve,33.0,26,12,happy
1999-12-04,39,Bling Bling,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",40.0,36,12,happy
1999-12-04,40,She's So High,Tal Bachman,34.0,14,25,energetic
1999-12-04,41,"4, 5, 6",Sole Featuring JT Money & Kandi,47.0,41,6,sad
1999-12-04,42,Breathe,Faith Hill,51.0,42,5,sad
1999-12-04,43,He Didn't Have To Be,Brad Paisley,46.0,43,7,sad
1999-12-04,44,We Can't Be Friends,Deborah Cox With R.L.,24.0,8,13,sad
1999-12-04,45,Home To You,John Michael Montgomery,48.0,45,10,sad
1999-12-04,46,Hanginaround,Counting Crows,60.0,46,5,happy
1999-12-04,47,Black Balloon,Goo Goo Dolls,38.0,16,22,happy
1999-12-04,48,Got Your Money,Ol' Dirty Bastard Featuring Kelis,59.0,48,7,happy
1999-12-04,49,That's The Way It Is,Celine Dion,65.0,49,4,happy
1999-12-04,50,American Woman,Lenny Kravitz,49.0,49,21,happy
1999-12-04,51,What A Girl Wants,Christina Aguilera,71.0,51,2,sad
1999-12-04,52,Shake Your Bon-Bon,Ricky Martin,66.0,52,3,happy
1999-12-04,53,There She Goes,Sixpence None The Richer,43.0,32,13,energetic
1999-12-04,54,Get It On Tonite,Montell Jordan,61.0,54,7,happy
1999-12-04,55,Something Like That,Tim McGraw,54.0,28,17,happy
1999-12-04,56,Bug A Boo,Destiny's Child,39.0,33,11,happy
1999-12-04,57,Higher,Creed,57.0,52,13,energetic
1999-12-04,58,Come On Over,Shania Twain,58.0,58,7,happy
1999-12-04,59,She's All I Ever Had,Ricky Martin,52.0,2,18,happy
1999-12-04,60,All Things Considered,Yankee Grey,64.0,60,12,happy
1999-12-04,61,I Want It All,Warren G Featuring Mack 10,37.0,23,12,happy
1999-12-04,62,Don't Say You Love Me,M2M,53.0,53,3,happy
1999-12-04,63,What Do You Say,Reba,69.0,63,6,sad
1999-12-04,64,Pop A Top,Alan Jackson,70.0,64,4,happy
1999-12-04,65,What Do You Say To That,George Strait,56.0,45,14,sad
1999-12-04,66,If I Could Turn Back The Hands Of Time,R. Kelly,45.0,12,15,sad
1999-12-04,67,The Chemicals Between Us,Bush,75.0,67,10,happy
1999-12-04,68,The Greatest Romance Ever Sold,Prince,63.0,63,7,happy
1999-12-04,69,Angels,Robbie Williams,77.0,69,3,happy
1999-12-04,70,Music Of My Heart,'N Sync & Gloria Estefan,62.0,2,14,happy
1999-12-04,71,Give You What You Want (Fa Sure),Chico DeBarge,78.0,71,7,happy
1999-12-04,72,Cowboy Take Me Away,Dixie Chicks,79.0,72,2,sad
1999-12-04,73,Got To Get It,Sisqo Featuring Make It Hot,76.0,73,3,happy
1999-12-04,74,Take A Picture,Filter,91.0,74,2,sad
1999-12-04,75,Deep Inside,Mary J. Blige,80.0,75,4,happy
1999-12-04,76,My Best Friend,Tim McGraw,85.0,76,2,sad
1999-12-04,77,The Rockafeller Skank,Fatboy Slim,87.0,77,20,happy
1999-12-04,78,Candy,Mandy Moore,67.0,41,13,happy
1999-12-04,79,I'll Go Crazy,Andy Griggs,73.0,65,10,happy
1999-12-04,80,The Dolphin's Cry,Live,81.0,78,8,happy
1999-12-04,81,She Thinks My Tractor's Sexy,Kenny Chesney,86.0,81,3,happy
1999-12-04,82,I'm Already Taken,Steve Wariner,72.0,42,13,sad
1999-12-04,83,Guerrilla Radio,Rage Against The Machine,84.0,69,6,energetic
1999-12-04,84,Caught Out There,Kelis,,84,1,happy
1999-12-04,85,Steam,Ty Herndon,83.0,83,8,happy
1999-12-04,86,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,,86,1,happy
1999-12-04,87,A Man Ain't Made Of Stone,Randy Travis,82.0,82,4,sad
1999-12-04,88,Sexual (Li Da Di),Amber,88.0,88,17,happy
1999-12-04,89,All The Small Things,Blink-182,,89,1,happy
1999-12-04,90,Rhythm Divine,Enrique Iglesias,,90,1,happy
1999-12-04,91,Re-arranged,Limp Bizkit,,91,1,energetic
1999-12-04,92,NAStradamus,Nas,94.0,92,2,happy
1999-12-04,93,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,93.0,93,2,happy
1999-12-04,94,N 2 Gether Now,Limp Bizkit Featuring Method Man,,94,1,happy
1999-12-04,95,"Live, Laugh, Love",Clay Walker,,95,1,happy
1999-12-04,96,Beauty,Dru Hill,97.0,79,11,sad
1999-12-04,97,B-Please,Snoop Dogg Featuring Xzibit & Nate Dogg,96.0,77,9,sad
1999-12-04,98,Lonely And Gone,Montgomery Gentry,74.0,46,19,happy
1999-12-04,99,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,,99,1,happy
